subject,body,category
Duplicate charge,"Hey support, I was charged twice for my subscription this month and need a refund. Thanks in advance.",Billing
Product information - 22,Could someone explain what services your company currently offers? Please let me know what I should do next.,General
Notification bug,Could you help me? I am not receiving notifications after enabling the setting.,Technical
Browser issue,"Please help, The page freezes in Chrome after I click the submit button.",Technical
Prorated billing,"Please help, Will I receive a prorated refund if I downgrade my plan today? Please look into this.",Billing
Notification bug,"Hi team, I am not receiving notifications after enabling the setting. I need help because the account portal is not working and I also have a general account question.",Technical
Invoice copy - 22,"Hello, Please send me a copy of my latest invoice for accounting. I would appreciate your help.",Billing
Attendance,"Good morning, Where can I check my attendance record for this month? I need help with a reimbursement on my company card and want to know the process.",HR
Company information,"Hello, Can you share more information about your organization and services? I would appreciate your help.",General
Integration failure,The calendar integration stopped syncing with our account. Please look into this.,Technical
Leave balance - 1,"Hi team, How many annual leave days do I have remaining this year? I would appreciate your help. This is urgent and needs attention immediately. My email is user@example.com.",HR
Prorated billing,Could you help me? Will I receive a prorated refund if I downgrade my plan today? This is causing inconvenience.,Billing
Unexpected fee,"Hey support, There is an unexpected fee on my latest bill that I do not understand. Thanks in advance.",Billing
Benefits,Could you help me? Could you explain the health insurance benefits available to employees? This is causing inconvenience.,HR
Application crash,"Please help, The dashboard crashes whenever I open the reports page. Thanks in advance. I need help because the account portal is not working and I also have a general account question.",Technical
Refund request,Could you help me? I cancelled my plan but was still billed and want the charge refunded. This is urgent and needs attention immediately.,Billing
Contact request,"Hey support, I am not sure which department handles this request. Who should I contact? This is causing inconvenience. This is urgent and needs attention immediately.",General
Holiday policy,Could you help me? What is the company policy for public holiday leave?,HR
Sick leave - 22,"Good morning, Please confirm my sick leave balance and available days. Please let me know what I should do next.",HR
Unexpected fee,Could you help me? There is an unexpected fee on my latest bill that I do not understand.,Billing
Unexpected fee,"Good morning, There is an unexpected fee on my latest bill that I do not understand. I would appreciate your help. The finance team asked me about my employee reimbursement and the invoice is unclear.",Billing
Product information,"Hello, Could someone explain what services your company currently offers? This is causing inconvenience. I am having an account issue and would like to know which team can help; the page sometimes fails to load.",General
Sick leave,"Please help, Please confirm my sick leave balance and available days.",HR
Holiday policy,"Good morning, What is the company policy for public holiday leave? I would appreciate your help. I need help with a reimbursement on my company card and want to know the process.",HR
Feedback,"Hi team, I wanted to share some feedback about my experience using the service.",General
